Time (s),Pack Voltage (V),Cell 1 Voltage (V),Cell 2 Voltage (V),Cell 3 Voltage (V),Cell 4 Voltage (V),Tap 1S Cumulative Voltage (V),Tap 2S Cumulative Voltage (V),Tap 3S Cumulative Voltage (V),Tap 4S Cumulative Voltage (V),Current (A),Temperature (°C)
41.56,12.4507,3.0909,3.1299,3.1404,3.0894,3.0909,6.2208,9.3613,12.4691,2.3491,20.18
42.06,12.4507,3.0909,3.1382,3.1321,3.0894,3.0909,6.2292,9.3613,12.4507,0.0373,18.70
42.55,12.4507,3.0959,3.1333,3.1321,3.0894,3.0959,6.2292,9.3613,12.4507,0.0373,18.21
43.05,12.4322,3.1057,3.1235,3.1321,3.0710,3.1057,6.2292,9.3613,12.4507,0.0373,18.70
43.57,12.4507,3.0959,3.1333,3.1183,3.1032,3.0959,6.2292,9.3475,12.4322,0.0373,18.70
44.07,12.4507,3.0959,3.1083,3.1571,3.0894,3.0959,6.2042,9.3613,12.4507,0.0373,19.20
44.57,12.4507,3.0713,3.1496,3.1404,3.0894,3.0713,6.2208,9.3613,12.4507,0.0373,19.69
45.06,12.4507,3.0860,3.1348,3.1404,3.0894,3.0860,6.2208,9.3613,12.4507,0.0373,18.70
45.56,12.4322,3.0762,3.1530,3.1459,3.0572,3.0762,6.2292,9.3751,12.4507,0.0373,17.72
46.05,12.4507,3.0959,3.1416,3.0824,3.1308,3.0959,6.2375,9.3199,12.4322,0.0373,18.21
46.54,12.4507,3.1106,3.1269,3.1238,3.0894,3.1106,6.2375,9.3613,12.4507,0.0373,18.21
47.04,12.4507,3.0713,3.1579,3.1321,3.0894,3.0713,6.2292,9.3613,12.4507,0.0373,18.70
47.54,12.4507,3.0959,3.1333,3.1321,3.0894,3.0959,6.2292,9.3613,12.4507,0.0373,18.70
48.04,12.4322,3.0860,3.1432,3.1321,3.0710,3.0860,6.2292,9.3613,12.4507,0.1119,19.20
48.54,12.4507,3.0860,3.1348,3.1404,3.0894,3.0860,6.2208,9.3613,12.4322,0.1119,18.21
49.04,12.4507,3.0909,3.1382,3.1321,3.0894,3.0909,6.2292,9.3613,12.4507,0.0373,18.70
